mol,Molecular weight,logP,donorcount,acceptorcount,logD[pH=7.4],bpKa1,polar surface area,fsp3,Heavy atom count,Rotatable bonds
Trimetrexate,369.425,2.28,3,8,1.91,7.54,117.54,0.26,27,6
JHU- 10504,369.425,2.28,3,8,1.91,7.54,117.54,0.26,27,6
TRIMETREXATE,369.425,2.28,3,8,1.91,7.54,117.54,0.26,27,6
NCGC EXT_IDNPC-7302357,369.425,2.28,3,8,1.91,7.54,117.54,0.26,27,6
trimethoprim,290.323,1.28,2,7,1.1,7.16,105.51,0.29,21,5
JHU- 10499,290.323,1.28,2,7,1.1,7.16,105.51,0.29,21,5
Trimethoprim,290.323,1.28,2,7,1.1,7.16,105.51,0.29,21,5
NCGC EXT_IDNPC-7232581,290.323,1.28,2,7,1.1,7.16,105.51,0.29,21,5
trimethobenzamide,388.464,2.16,1,6,0.77,8.77,69.26,0.38,28,10
JHU- 10498,388.464,2.16,1,6,0.77,8.77,69.26,0.38,28,10
TRIMETHOBENZAMIDE,388.464,2.16,1,6,0.77,8.77,69.26,0.38,28,10
NCGC EXT_IDNPC-7274489,388.464,2.16,1,6,0.77,8.77,69.26,0.38,28,10
trimethadione,143.142,0.5,0,2,0.5,,46.61,0.67,10,0
JHU- 10494,143.142,0.5,0,2,0.5,,46.61,0.67,10,0
Trimethadione,143.142,0.5,0,2,0.5,,46.61,0.67,10,0
NCGC EXT_IDNPC-7239947,143.142,0.5,0,2,0.5,,46.61,0.67,10,0
JHU- 12635,298.45,4.41,0,2,2.4,9.42,6.48,0.33,21,4
Trimeprazine,298.45,4.41,0,2,2.4,9.42,6.48,0.33,21,4
NCGC EXT_IDNPC-7366235,298.45,4.41,0,2,2.4,9.42,6.48,0.33,21,4
trihexyphenidyl,301.474,4.23,1,2,2.32,9.32,23.47,0.7,22,5
JHU- 10482,301.474,4.23,1,2,2.32,9.32,23.47,0.7,22,5
TRIHEXYLPHENIDYL,301.474,4.23,1,2,2.32,9.32,23.47,0.7,22,5
NCGC EXT_IDNPC-7300353,301.474,4.23,1,2,2.32,9.32,23.47,0.7,22,5
triflupromazine,352.42,4.81,0,2,3.01,9.2,6.48,0.33,24,5
JHU- 10474,352.42,4.81,0,2,3.01,9.2,6.48,0.33,24,5
Pnu0007216,352.42,4.81,0,2,3.01,9.2,6.48,0.33,24,5
NCGC EXT_IDNPC-7396663,352.42,4.81,0,2,3.01,9.2,6.48,0.33,24,5
trifluoperazine,407.5,4.66,0,3,3.97,7.99,9.72,0.43,28,5
JHU- 10472,407.5,4.66,0,3,3.97,7.99,9.72,0.43,28,5
NCGC EXT_IDNPC-7361056,407.5,4.66,0,3,3.97,7.99,9.72,0.43,28,5
thiotepa,189.22,-1.03,0,3,-1.03,-0.3,9.03,1,11,3
JHU- 10053,189.22,-1.03,0,3,-1.03,-0.3,9.03,1,11,3
TRIETHYLENETRIPHOSPHAMIDE,189.22,-1.03,0,3,-1.03,-0.3,9.03,1,11,3
NCGC EXT_IDNPC-7304922,189.22,-1.03,0,3,-1.03,-0.3,9.03,1,11,3
JHU- 11028,149.19,-1.88,3,4,-2.96,8.44,63.93,1,10,6
TRIETHANOLAMINE,149.19,-1.88,3,4,-2.96,8.44,63.93,1,10,6
JHU- 10458,146.238,-2.15,4,4,-6.3,9.77,76.1,1,10,7
Trientine,146.238,-2.15,4,4,-6.3,9.77,76.1,1,10,7
NCGC EXT_IDNPC-7356058,146.238,-2.15,4,4,-6.3,9.77,76.1,1,10,7
JHU- 10447,229.37,0.93,2,3,-2.65,1.17,66.76,1,10,3
Triclofos,229.37,0.93,2,3,-2.65,1.17,66.76,1,10,3
NCGC EXT_IDNPC-7396435,229.37,0.93,2,3,-2.65,1.17,66.76,1,10,3
trichlormethiazide,380.64,0.97,3,5,0.93,8.32,118.36,0.25,20,2
JHU- 10433,380.64,0.97,3,5,0.93,8.32,118.36,0.25,20,2
1159_FDAMDD_v3b,380.64,0.97,3,5,0.93,8.32,118.36,0.25,20,2
triazolam,343.21,3.63,0,3,3.63,4.26,43.07,0.12,23,1
JHU- 10422,343.21,3.63,0,3,3.63,4.26,43.07,0.12,23,1
NCGC EXT_IDNPC-7249496,343.21,3.63,0,3,3.63,4.26,43.07,0.12,23,1
JHU- 10420,253.269,1.11,3,7,1.11,1.86,129.62,0,19,1
Triamterene,253.269,1.11,3,7,1.11,1.86,129.62,0,19,1
Treosulfan,278.29,-2.6,2,6,-2.6,13,127.2,1,16,7
JHU- 10395,278.29,-2.6,2,6,-2.6,13,127.2,1,16,7
NCGC EXT_IDNPC-7333116,278.29,-2.6,2,6,-2.6,13,127.2,1,16,7
trazodone,371.87,3.13,0,4,2.96,7.09,42.39,0.37,26,5
JHU- 10381,371.87,3.13,0,4,2.96,7.09,42.39,0.37,26,5
NCGC EXT_IDNPC-7335601,371.87,3.13,0,4,2.96,7.09,42.39,0.37,26,5
JHU- 10369,327.336,3.56,2,5,0.2,3.55,84.86,0.11,24,6
Tranilast,327.336,3.56,2,5,0.2,3.55,84.86,0.11,24,6
tranexamic acid,157.213,-1.55,2,3,-1.55,4.56,63.32,0.88,11,2
JHU- 10368,157.213,-1.55,2,3,-1.55,4.56,63.32,0.88,11,2
NCGC EXT_IDNPC-7272880,157.213,-1.55,2,3,-1.55,4.56,63.32,0.88,11,2
torasemide,348.42,1.86,3,5,1.12,5.92,100.19,0.25,24,4
JHU- 10348,348.42,1.86,3,5,1.12,5.92,100.19,0.25,24,4
Torasemide,348.42,1.86,3,5,1.12,5.92,100.19,0.25,24,4
tolmetin,257.289,2.73,1,3,-0.47,3.93,59.3,0.2,19,4
JHU- 10294,257.289,2.73,1,3,-0.47,3.93,59.3,0.2,19,4
NCGC EXT_IDNPC-7324838,257.289,2.73,1,3,-0.47,3.93,59.3,0.2,19,4
tolbutamide,270.35,2.3,2,3,1.36,4.33,75.27,0.42,18,4
JHU- 10278,270.35,2.3,2,3,1.36,4.33,75.27,0.42,18,4
TOLBUTAMIDE,270.35,2.3,2,3,1.36,4.33,75.27,0.42,18,4
NCGC EXT_IDNPC-7339506,270.35,2.3,2,3,1.36,4.33,75.27,0.42,18,4
tolazoline,160.22,1.2,1,2,-1.08,10.2,24.39,0.3,12,2
JHU- 10276,160.22,1.2,1,2,-1.08,10.2,24.39,0.3,12,2
CIC1159,160.22,1.2,1,2,-1.08,10.2,24.39,0.3,12,2
NCGC EXT_IDNPC-7326271,160.22,1.2,1,2,-1.08,10.2,24.39,0.3,12,2
tolazamide,311.4,1.91,2,4,0.97,4.07,78.51,0.5,21,2
JHU- 10275,311.4,1.91,2,4,0.97,4.07,78.51,0.5,21,2
TOLAZAMIDE,311.4,1.91,2,4,0.97,4.07,78.51,0.5,21,2
NCGC EXT_IDNPC-7279508,311.4,1.91,2,4,0.97,4.07,78.51,0.5,21,2
JHU- 10255,467.52,-6.48,10,14,-12.43,9.5,268.17,1,32,6
TOBRAMYCIN,467.52,-6.48,10,14,-12.43,9.5,268.17,1,32,6
NCGC EXT_IDNPC-7368528,467.52,-6.48,10,14,-12.43,9.5,268.17,1,32,6
tizanidine,253.71,2.02,2,5,1.68,7.49,62.2,0.22,16,1
JHU- 10248,253.71,2.02,2,5,1.68,7.49,62.2,0.22,16,1
CIC1155,253.71,2.02,2,5,1.68,7.49,62.2,0.22,16,1
NCGC EXT_IDNPC-7454338,253.71,2.02,2,5,1.68,7.49,62.2,0.22,16,1
Tiratricol,621.935,5.59,2,3,2.05,2.31,66.76,0.07,21,4
JHU- 10229,621.935,5.59,2,3,2.05,2.31,66.76,0.07,21,4
NCGC EXT_IDNPC-7426895,621.935,5.59,2,3,2.05,2.31,66.76,0.07,21,4
Tipifarnib,489.4,4.69,1,3,4.34,7.5,64.15,0.11,34,4
JHU- 10212,489.4,4.69,1,3,4.34,7.5,64.15,0.11,34,4
NCGC EXT_IDNPC-7363002,489.4,4.69,1,3,4.34,7.5,64.15,0.11,34,4
tiopronin,163.19,-0.53,3,3,-3.77,3.86,66.4,0.6,10,3
JHU- 10198,163.19,-0.53,3,3,-3.77,3.86,66.4,0.6,10,3
Tiopronin,163.19,-0.53,3,3,-3.77,3.86,66.4,0.6,10,3
NCGC EXT_IDNPC-7325275,163.19,-0.53,3,3,-3.77,3.86,66.4,0.6,10,3
tioconazole,387.7,5.3,0,2,5.26,6.48,27.05,0.19,23,6
JHU- 10190,387.7,5.3,0,2,5.26,6.48,27.05,0.19,23,6
NCGC EXT_IDNPC-7407537,387.7,5.3,0,2,5.26,6.48,27.05,0.19,23,6
tinidazole,247.27,-0.58,0,5,-0.58,3.28,95.1,0.62,16,5
JHU- 10183,247.27,-0.58,0,5,-0.58,3.28,95.1,0.62,16,5
CIC1152,247.27,-0.58,0,5,-0.58,3.28,95.1,0.62,16,5
NCGC EXT_IDNPC-7313686,247.27,-0.58,0,5,-0.58,3.28,95.1,0.62,16,5
JHU- 10129,331.16,3.87,1,4,0.43,3.22,63.6,0.08,20,5
tienilic acid,331.16,3.87,1,4,0.43,3.22,63.6,0.08,20,5
NCGC EXT_IDNPC-7260973,331.16,3.87,1,4,0.43,3.22,63.6,0.08,20,5
ticlopidine,263.78,4.2,0,1,4.07,6.94,3.24,0.29,17,2
JHU- 10127,263.78,4.2,0,1,4.07,6.94,3.24,0.29,17,2
TICLOPIDINE,263.78,4.2,0,1,4.07,6.94,3.24,0.29,17,2
NCGC EXT_IDNPC-7269142,263.78,4.2,0,1,4.07,6.94,3.24,0.29,17,2
Tiapride,328.43,0.46,1,5,-1.02,8.87,75.71,0.53,22,8
JHU- 10106,328.43,0.46,1,5,-1.02,8.87,75.71,0.53,22,8
Tiapride,328.43,0.46,1,5,-1.02,8.87,75.71,0.53,22,8
NCGC EXT_IDNPC-7275777,328.43,0.46,1,5,-1.02,8.87,75.71,0.53,22,8
JHU- 10057,128.15,0.03,2,1,-0.04,8.11,41.13,0,8,0
Thiouracil,128.15,0.03,2,1,-0.04,8.11,41.13,0,8,0
ST075010,128.15,0.03,2,1,-0.04,8.11,41.13,0,8,0
NCGC EXT_IDNPC-7427523,128.15,0.03,2,1,-0.04,8.11,41.13,0,8,0
thioridazine,370.57,5.47,0,2,3.93,8.93,6.48,0.43,25,4
JHU- 10049,370.57,5.47,0,2,3.93,8.93,6.48,0.43,25,4
THIORIDAZINE,370.57,5.47,0,2,3.93,8.93,6.48,0.43,25,4
NCGC EXT_IDNPC-7243859,370.57,5.47,0,2,3.93,8.93,6.48,0.43,25,4
JHU- 10042,167.19,-0.22,3,3,-0.22,9.96,79.09,0,11,0
Thioquanine,167.19,-0.22,3,3,-0.22,9.96,79.09,0,11,0
JHU- 10047,446.01,4.13,0,4,3.78,7.5,36.02,0.43,30,8
Thiopropazate,446.01,4.13,0,4,3.78,7.5,36.02,0.43,30,8
NCGC EXT_IDNPC-7265462,446.01,4.13,0,4,3.78,7.5,36.02,0.43,30,8
thiethylperazine,399.62,4.66,0,3,3.97,8,9.72,0.45,27,6
JHU- 10029,399.62,4.66,0,3,3.97,8,9.72,0.45,27,6
THIETHYLPERAZINE,399.62,4.66,0,3,3.97,8,9.72,0.45,27,6
NCGC EXT_IDNPC-7244975,399.62,4.66,0,3,3.97,8,9.72,0.45,27,6
theophylline,180.167,-0.77,1,3,-0.89,7.82,69.3,0.29,13,0
JHU- 10004,180.167,-0.77,1,3,-0.89,7.82,69.3,0.29,13,0
1107_FDAMDD_v3b,180.167,-0.77,1,3,-0.89,7.82,69.3,0.29,13,0
NCGC EXT_ID8000-10-0,180.167,-0.77,1,3,-0.89,7.82,69.3,0.29,13,0
thalidomide,258.233,0.02,1,4,0.02,11.6,83.55,0.23,19,1
JHU- 9991,258.233,0.02,1,4,0.02,11.6,83.55,0.23,19,1
Thalidomide,258.233,0.02,1,4,0.02,11.6,83.55,0.23,19,1
NCGC EXT_IDNPC-7395892,258.233,0.02,1,4,0.02,11.6,83.55,0.23,19,1
Tetraiodothyroacetic acid,747.832,6.52,2,3,2.72,2.25,66.76,0.07,22,4
JHU- 12775,747.832,6.52,2,3,2.72,2.25,66.76,0.07,22,4
tetrahydrozoline,200.285,2.24,1,2,-0.02,10.2,24.39,0.46,15,1
JHU- 9969,200.285,2.24,1,2,-0.02,10.2,24.39,0.46,15,1
NCGC EXT_IDNPC-7418319,200.285,2.24,1,2,-0.02,10.2,24.39,0.46,15,1
tetrahydrobiopterin,241.251,-2.66,6,8,-2.67,5.41,132,0.56,17,2
JHU- 12774,241.251,-2.66,6,8,-2.67,5.41,132,0.56,17,2
tetracycline,444.44,-3.49,6,9,-3.81,3.26,181.62,0.41,32,2
JHU- 9959,444.44,-3.49,6,9,-3.81,3.26,181.62,0.41,32,2
Tetrabenazine,317.429,3.4,0,4,3.14,7.33,38.77,0.63,23,4
JHU- 9955,317.429,3.4,0,4,3.14,7.33,38.77,0.63,23,4
NCGC EXT_IDNPC-7257637,317.429,3.4,0,4,3.14,7.33,38.77,0.63,23,4
JHU- 9929,172.268,1.19,2,2,1.19,-0.69,40.46,1,12,1
Terpin hydrate,172.268,1.19,2,2,1.19,-0.69,40.46,1,12,1
JHU- 9912,471.685,6.48,2,3,4.85,9.02,43.7,0.44,35,9
TERFENADINE,471.685,6.48,2,3,4.85,9.02,43.7,0.44,35,9
NCGC EXT_IDNPC-7277842,471.685,6.48,2,3,4.85,9.02,43.7,0.44,35,9
JHU- 9906,225.288,0.44,4,4,-0.73,9.76,72.72,0.5,16,4
TERBUTALINE,225.288,0.44,4,4,-0.73,9.76,72.72,0.5,16,4
NCGC EXT_IDNPC-7447636,225.288,0.44,4,4,-0.73,9.76,72.72,0.5,16,4
terazosin,387.44,1.18,1,8,0.95,7.24,103.04,0.53,28,4
JHU- 9898,387.44,1.18,1,8,0.95,7.24,103.04,0.53,28,4
TERAZOSIN,387.44,1.18,1,8,0.95,7.24,103.04,0.53,28,4
temozolomide,194.154,-0.28,1,5,-0.28,10.5,105.94,0.17,14,1
JHU- 9869,194.154,-0.28,1,5,-0.28,10.5,105.94,0.17,14,1
Temoporfin,,,,,,10.7,,,,
JHU- 9868,,,,,,10.7,,,,
NCGC EXT_IDNPC-7291269,,,,,,10.7,,,,
temazepam,300.74,2.79,1,3,2.79,10.7,52.9,0.12,21,1
JHU- 9860,300.74,2.79,1,3,2.79,10.7,52.9,0.12,21,1
CIC1112,300.74,2.79,1,3,2.79,10.7,52.9,0.12,21,1
NCGC EXT_IDNPC-7234033,300.74,2.79,1,3,2.79,10.7,52.9,0.12,21,1
JHU- 9854,514.629,6.13,1,4,4.86,3.62,72.94,0.18,39,7
TELMISARTAN,514.629,6.13,1,4,4.86,3.62,72.94,0.18,39,7
NCGC EXT_IDNPC-7372419,514.629,6.13,1,4,4.86,3.62,72.94,0.18,39,7
Tazorac,351.46,5.22,0,2,5.22,1.23,39.19,0.33,25,5
JHU- 9759,351.46,5.22,0,2,5.22,1.23,39.19,0.33,25,5
NCGC EXT_IDNPC-7252559,351.46,5.22,0,2,5.22,1.23,39.19,0.33,25,5
JHU- 9743,150.086,-1.83,4,6,-7.89,2.72,115.06,0.5,10,3
Tartaric acid,150.086,-1.83,4,6,-7.89,2.72,115.06,0.5,10,3
JHU- 7260,461.511,4.17,0,2,2.69,8.87,12.47,0.38,33,11
T6647365,461.511,4.17,0,2,2.69,8.87,12.47,0.38,33,11
JHU- 3887,244.294,2.5,0,2,2.5,4.25,44.12,0.29,18,5
CIC502,244.294,2.5,0,2,2.5,4.25,44.12,0.29,18,5
T6531406,244.294,2.5,0,2,2.5,4.25,44.12,0.29,18,5
NCGC EXT_IDNPC-7268947,244.294,2.5,0,2,2.5,4.25,44.12,0.29,18,5
JHU- 2424,218.68,4.37,1,1,4.36,9.06,20.23,0.08,15,2
T5895585,218.68,4.37,1,1,4.36,9.06,20.23,0.08,15,2
NCGC EXT_IDNPC-7416869,218.68,4.37,1,1,4.36,9.06,20.23,0.08,15,2
chlormezanone,273.73,0.92,0,3,0.92,-2.44,54.45,0.36,17,1
JHU- 2051,273.73,0.92,0,3,0.92,-2.44,54.45,0.36,17,1
259_FDAMDD_v3b,273.73,0.92,0,3,0.92,-2.44,54.45,0.36,17,1
T5889171,273.73,0.92,0,3,0.92,-2.44,54.45,0.36,17,1
NCGC EXT_IDNPC-7296055,273.73,0.92,0,3,0.92,-2.44,54.45,0.36,17,1
Sulfapyridine,249.29,1.01,2,4,0.24,6.24,85.08,0,17,2
JHU- 9562,249.29,1.01,2,4,0.24,6.24,85.08,0,17,2
T5889155,249.29,1.01,2,4,0.24,6.24,85.08,0,17,2
NCGC EXT_IDNPC-7273117,249.29,1.01,2,4,0.24,6.24,85.08,0,17,2
JHU- 9581,278.33,0.91,2,5,0.28,6.12,97.97,0.17,19,2
T5883854,278.33,0.91,2,5,0.28,6.12,97.97,0.17,19,2
NCGC EXT_IDNPC-7388897,278.33,0.91,2,5,0.28,6.12,97.97,0.17,19,2
JHU- 10010,201.25,2.33,1,2,2.33,10.3,41.57,0,14,1
T5832298,201.25,2.33,1,2,2.33,10.3,41.57,0,14,1
NCGC EXT_IDNPC-7417265,201.25,2.33,1,2,2.33,10.3,41.57,0,14,1
JHU- 2095,228.07,3.17,1,2,2.6,6.99,33.12,0.1,14,0
T5446011,228.07,3.17,1,2,2.6,6.99,33.12,0.1,14,0
NCGC EXT_IDNPC-7340746,228.07,3.17,1,2,2.6,6.99,33.12,0.1,14,0
JHU- 9533,310.33,1.26,2,7,0.78,6.91,116.43,0.17,21,4
Sulfadimethoxine,310.33,1.26,2,7,0.78,6.91,116.43,0.17,21,4
T0500-9933,310.33,1.26,2,7,0.78,6.91,116.43,0.17,21,4
NCGC EXT_IDNPC-7324743,310.33,1.26,2,7,0.78,6.91,116.43,0.17,21,4
Suramin,1297.26,5.58,12,23,-8.68,-3.46,483.75,0.04,86,16
JHU- 9646,1297.26,5.58,12,23,-8.68,-3.46,483.75,0.04,86,16
NCGC EXT_IDNPC-7247137,1297.26,5.58,12,23,-8.68,-3.46,483.75,0.04,86,16
sumatriptan,295.4,0.74,2,3,-1.24,9.54,65.2,0.43,20,5
JHU- 9632,295.4,0.74,2,3,-1.24,9.54,65.2,0.43,20,5
SUMATRIPTAN,295.4,0.74,2,3,-1.24,9.54,65.2,0.43,20,5
NCGC EXT_IDNPC-7423992,295.4,0.74,2,3,-1.24,9.54,65.2,0.43,20,5
JHU- 9566,398.39,4.25,3,8,0.25,3.23,141.31,0,28,5
"Sulphasalazine, N-",398.39,4.25,3,8,0.25,3.23,141.31,0,28,5
NCGC EXT_IDNPC-7275374,398.39,4.25,3,8,0.25,3.23,141.31,0,28,5
JHU- 9583,309.34,0.72,1,5,0.72,1.92,106.5,0.23,21,2
Sulfisoxazole acetal,309.34,0.72,1,5,0.72,1.92,106.5,0.23,21,2
NCGC EXT_IDNPC-7295836,309.34,0.72,1,5,0.72,1.92,106.5,0.23,21,2
sulfisoxazole,267.3,0.73,2,4,-0.14,5.8,98.22,0.18,18,2
JHU- 9582,267.3,0.73,2,4,-0.14,5.8,98.22,0.18,18,2
Sulfisoxazole,267.3,0.73,2,4,-0.14,5.8,98.22,0.18,18,2
NCGC EXT_IDNPC-7232908,267.3,0.73,2,4,-0.14,5.8,98.22,0.18,18,2
sulfinpyrazone,404.48,3.19,0,3,1.1,3.86,57.69,0.13,29,6
JHU- 9579,404.48,3.19,0,3,1.1,3.86,57.69,0.13,29,6
Sulfinpyrazone,404.48,3.19,0,3,1.1,3.86,57.69,0.13,29,6
NCGC EXT_IDNPC-7259804,404.48,3.19,0,3,1.1,3.86,57.69,0.13,29,6
sulfamethoxazole,253.28,0.79,2,4,0,6.16,98.22,0.1,17,2
JHU- 9547,253.28,0.79,2,4,0,6.16,98.22,0.1,17,2
NCGC EXT_IDNPC-7233054,253.28,0.79,2,4,0,6.16,98.22,0.1,17,2
sulfamethizole,270.33,0.21,2,5,-0.36,6.71,97.97,0.11,17,2
JHU- 9546,270.33,0.21,2,5,-0.36,6.71,97.97,0.11,17,2
Sulfamethizole,270.33,0.21,2,5,-0.36,6.71,97.97,0.11,17,2
NCGC EXT_IDNPC-7420109,270.33,0.21,2,5,-0.36,6.71,97.97,0.11,17,2
sulfamethazine,278.33,0.65,2,5,0.21,6.99,97.97,0.17,19,2
